Game,MyAgent,Victory,result
000,WEREWOLF,VILLAGER,0
001,VILLAGER,WEREWOLF,0
002,VILLAGER,WEREWOLF,0
003,SEER,WEREWOLF,0
004,MEDIUM,WEREWOLF,0
005,WEREWOLF,VILLAGER,0
006,VILLAGER,VILLAGER,1
007,VILLAGER,VILLAGER,1
008,WEREWOLF,WEREWOLF,1
009,VILLAGER,WEREWOLF,0
010,MEDIUM,VILLAGER,1
011,MEDIUM,VILLAGER,1
012,VILLAGER,VILLAGER,1
013,SEER,VILLAGER,1
014,VILLAGER,WEREWOLF,0
015,SEER,WEREWOLF,0
016,VILLAGER,WEREWOLF,0
017,VILLAGER,VILLAGER,1
018,POSSESSED,WEREWOLF,1
019,VILLAGER,WEREWOLF,0
020,VILLAGER,WEREWOLF,0
021,VILLAGER,VILLAGER,1
022,WEREWOLF,WEREWOLF,1
023,VILLAGER,VILLAGER,1
024,POSSESSED,WEREWOLF,1
025,VILLAGER,WEREWOLF,0
026,VILLAGER,VILLAGER,1
027,WEREWOLF,WEREWOLF,1
028,BODYGUARD,VILLAGER,1
029,WEREWOLF,WEREWOLF,1
030,MEDIUM,VILLAGER,1
031,VILLAGER,VILLAGER,1
032,VILLAGER,VILLAGER,1
033,WEREWOLF,WEREWOLF,1
034,VILLAGER,VILLAGER,1
035,VILLAGER,WEREWOLF,0
036,VILLAGER,WEREWOLF,0
037,VILLAGER,VILLAGER,1
038,BODYGUARD,WEREWOLF,0
039,VILLAGER,VILLAGER,1
040,WEREWOLF,VILLAGER,0
041,VILLAGER,VILLAGER,1
042,VILLAGER,WEREWOLF,0
043,VILLAGER,VILLAGER,1
044,VILLAGER,WEREWOLF,0
045,BODYGUARD,WEREWOLF,0
046,VILLAGER,WEREWOLF,0
047,MEDIUM,VILLAGER,1
048,VILLAGER,VILLAGER,1
049,VILLAGER,VILLAGER,1
050,VILLAGER,WEREWOLF,0
051,VILLAGER,VILLAGER,1
052,VILLAGER,VILLAGER,1
053,VILLAGER,VILLAGER,1
054,VILLAGER,VILLAGER,1
055,POSSESSED,VILLAGER,0
056,VILLAGER,WEREWOLF,0
057,BODYGUARD,WEREWOLF,0
058,VILLAGER,WEREWOLF,0
059,WEREWOLF,VILLAGER,0
060,VILLAGER,WEREWOLF,0
061,MEDIUM,VILLAGER,1
062,WEREWOLF,VILLAGER,0
063,WEREWOLF,VILLAGER,0
064,SEER,VILLAGER,1
065,WEREWOLF,VILLAGER,0
066,WEREWOLF,VILLAGER,0
067,WEREWOLF,WEREWOLF,1
068,VILLAGER,VILLAGER,1
069,POSSESSED,VILLAGER,0
070,VILLAGER,WEREWOLF,0
071,BODYGUARD,WEREWOLF,0
072,VILLAGER,VILLAGER,1
073,MEDIUM,WEREWOLF,0
074,VILLAGER,WEREWOLF,0
075,BODYGUARD,WEREWOLF,0
076,POSSESSED,WEREWOLF,1
077,VILLAGER,WEREWOLF,0
078,VILLAGER,WEREWOLF,0
079,WEREWOLF,VILLAGER,0
080,VILLAGER,WEREWOLF,0
081,VILLAGER,WEREWOLF,0
082,VILLAGER,WEREWOLF,0
083,VILLAGER,WEREWOLF,0
084,VILLAGER,WEREWOLF,0
085,POSSESSED,VILLAGER,0
086,VILLAGER,WEREWOLF,0
087,VILLAGER,VILLAGER,1
088,VILLAGER,VILLAGER,1
089,VILLAGER,VILLAGER,1
090,MEDIUM,VILLAGER,1
091,VILLAGER,WEREWOLF,0
092,MEDIUM,WEREWOLF,0
093,VILLAGER,WEREWOLF,0
094,VILLAGER,WEREWOLF,0
095,VILLAGER,VILLAGER,1
096,MEDIUM,VILLAGER,1
097,VILLAGER,VILLAGER,1
098,WEREWOLF,VILLAGER,0
099,POSSESSED,VILLAGER,0
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
57,4,10,6,16,7
27,2,7,1,6,3
VILLAGER,WEREWOLF
37,9
