Game,MyAgent,Victory,result
000,WEREWOLF,WEREWOLF,1
001,MEDIUM,VILLAGER,1
002,WEREWOLF,VILLAGER,0
003,VILLAGER,VILLAGER,1
004,VILLAGER,WEREWOLF,0
005,VILLAGER,WEREWOLF,0
006,SEER,WEREWOLF,0
007,VILLAGER,WEREWOLF,0
008,VILLAGER,WEREWOLF,0
009,BODYGUARD,VILLAGER,1
010,VILLAGER,WEREWOLF,0
011,WEREWOLF,WEREWOLF,1
012,BODYGUARD,VILLAGER,1
013,POSSESSED,VILLAGER,0
014,BODYGUARD,WEREWOLF,0
015,SEER,VILLAGER,1
016,MEDIUM,VILLAGER,1
017,VILLAGER,VILLAGER,1
018,VILLAGER,WEREWOLF,0
019,MEDIUM,WEREWOLF,0
020,POSSESSED,WEREWOLF,1
021,VILLAGER,VILLAGER,1
022,SEER,WEREWOLF,0
023,BODYGUARD,WEREWOLF,0
024,VILLAGER,VILLAGER,1
025,POSSESSED,VILLAGER,0
026,VILLAGER,WEREWOLF,0
027,WEREWOLF,WEREWOLF,1
028,VILLAGER,VILLAGER,1
029,VILLAGER,WEREWOLF,0
030,WEREWOLF,WEREWOLF,1
031,WEREWOLF,VILLAGER,0
032,WEREWOLF,WEREWOLF,1
033,VILLAGER,WEREWOLF,0
034,VILLAGER,WEREWOLF,0
035,VILLAGER,WEREWOLF,0
036,VILLAGER,WEREWOLF,0
037,VILLAGER,WEREWOLF,0
038,MEDIUM,VILLAGER,1
039,WEREWOLF,WEREWOLF,1
040,VILLAGER,WEREWOLF,0
041,VILLAGER,VILLAGER,1
Game,MyAgent,Victory,result
000,VILLAGER,WEREWOLF,0
001,VILLAGER,WEREWOLF,0
002,WEREWOLF,WEREWOLF,1
003,BODYGUARD,WEREWOLF,0
004,VILLAGER,WEREWOLF,0
005,VILLAGER,WEREWOLF,0
006,WEREWOLF,VILLAGER,0
007,MEDIUM,WEREWOLF,0
008,WEREWOLF,WEREWOLF,1
009,POSSESSED,VILLAGER,0
010,VILLAGER,WEREWOLF,0
011,VILLAGER,VILLAGER,1
012,WEREWOLF,WEREWOLF,1
013,VILLAGER,VILLAGER,1
014,VILLAGER,VILLAGER,1
015,VILLAGER,WEREWOLF,0
016,BODYGUARD,VILLAGER,1
017,VILLAGER,VILLAGER,1
018,VILLAGER,VILLAGER,1
019,VILLAGER,VILLAGER,1
020,MEDIUM,WEREWOLF,0
021,VILLAGER,WEREWOLF,0
022,VILLAGER,VILLAGER,1
023,SEER,WEREWOLF,0
024,WEREWOLF,VILLAGER,0
025,MEDIUM,WEREWOLF,0
026,POSSESSED,VILLAGER,0
027,WEREWOLF,VILLAGER,0
028,WEREWOLF,VILLAGER,0
029,WEREWOLF,VILLAGER,0
030,BODYGUARD,VILLAGER,1
031,WEREWOLF,VILLAGER,0
032,VILLAGER,VILLAGER,1
033,WEREWOLF,VILLAGER,0
034,VILLAGER,VILLAGER,1
035,VILLAGER,WEREWOLF,0
036,POSSESSED,VILLAGER,0
037,VILLAGER,VILLAGER,1
038,WEREWOLF,VILLAGER,0
039,VILLAGER,VILLAGER,1
040,WEREWOLF,WEREWOLF,1
041,VILLAGER,WEREWOLF,0
042,VILLAGER,WEREWOLF,0
043,VILLAGER,VILLAGER,1
044,VILLAGER,VILLAGER,1
045,WEREWOLF,VILLAGER,0
046,VILLAGER,VILLAGER,1
047,VILLAGER,WEREWOLF,0
048,MEDIUM,VILLAGER,1
049,VILLAGER,VILLAGER,1
050,WEREWOLF,WEREWOLF,1
051,MEDIUM,VILLAGER,1
052,VILLAGER,VILLAGER,1
053,VILLAGER,VILLAGER,1
054,MEDIUM,WEREWOLF,0
055,VILLAGER,WEREWOLF,0
056,WEREWOLF,VILLAGER,0
057,VILLAGER,VILLAGER,1
058,VILLAGER,VILLAGER,1
059,VILLAGER,VILLAGER,1
060,VILLAGER,VILLAGER,1
061,VILLAGER,VILLAGER,1
062,WEREWOLF,VILLAGER,0
063,VILLAGER,VILLAGER,1
064,VILLAGER,WEREWOLF,0
065,VILLAGER,VILLAGER,1
066,BODYGUARD,VILLAGER,1
067,VILLAGER,WEREWOLF,0
068,VILLAGER,VILLAGER,1
069,VILLAGER,VILLAGER,1
070,WEREWOLF,WEREWOLF,1
071,VILLAGER,VILLAGER,1
072,VILLAGER,VILLAGER,1
073,VILLAGER,VILLAGER,1
074,VILLAGER,VILLAGER,1
075,VILLAGER,VILLAGER,1
076,MEDIUM,WEREWOLF,0
077,VILLAGER,VILLAGER,1
078,WEREWOLF,VILLAGER,0
079,BODYGUARD,WEREWOLF,0
080,BODYGUARD,WEREWOLF,0
081,POSSESSED,WEREWOLF,1
082,MEDIUM,WEREWOLF,0
083,WEREWOLF,VILLAGER,0
084,BODYGUARD,VILLAGER,1
085,VILLAGER,VILLAGER,1
086,VILLAGER,WEREWOLF,0
087,BODYGUARD,WEREWOLF,0
088,SEER,VILLAGER,1
089,VILLAGER,VILLAGER,1
090,VILLAGER,VILLAGER,1
091,VILLAGER,VILLAGER,1
092,VILLAGER,WEREWOLF,0
093,WEREWOLF,WEREWOLF,1
094,BODYGUARD,VILLAGER,1
095,VILLAGER,VILLAGER,1
096,VILLAGER,VILLAGER,1
097,SEER,VILLAGER,1
098,VILLAGER,VILLAGER,1
099,VILLAGER,VILLAGER,1
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
56,3,8,9,20,4
40,2,2,5,7,1
VILLAGER,WEREWOLF
49,8
