Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
000,POSSESSED,WEREWOLF,1
001,VILLAGER,WEREWOLF,0
002,SEER,VILLAGER,1
003,WEREWOLF,WEREWOLF,1
004,WEREWOLF,WEREWOLF,1
005,POSSESSED,VILLAGER,0
006,WEREWOLF,VILLAGER,0
007,VILLAGER,VILLAGER,1
008,VILLAGER,WEREWOLF,0
009,VILLAGER,WEREWOLF,0
010,BODYGUARD,VILLAGER,1
011,WEREWOLF,WEREWOLF,1
012,MEDIUM,VILLAGER,1
013,VILLAGER,VILLAGER,1
014,MEDIUM,VILLAGER,1
015,BODYGUARD,WEREWOLF,0
016,VILLAGER,WEREWOLF,0
017,SEER,VILLAGER,1
018,MEDIUM,VILLAGER,1
019,VILLAGER,VILLAGER,1
020,VILLAGER,VILLAGER,1
021,SEER,WEREWOLF,0
022,VILLAGER,VILLAGER,1
023,VILLAGER,WEREWOLF,0
024,VILLAGER,WEREWOLF,0
025,POSSESSED,VILLAGER,0
026,VILLAGER,WEREWOLF,0
027,POSSESSED,VILLAGER,0
028,VILLAGER,WEREWOLF,0
029,VILLAGER,VILLAGER,1
030,WEREWOLF,VILLAGER,0
031,VILLAGER,VILLAGER,1
032,VILLAGER,WEREWOLF,0
033,VILLAGER,VILLAGER,1
034,WEREWOLF,WEREWOLF,1
035,VILLAGER,WEREWOLF,0
036,VILLAGER,VILLAGER,1
037,SEER,VILLAGER,1
038,VILLAGER,VILLAGER,1
039,VILLAGER,VILLAGER,1
040,VILLAGER,VILLAGER,1
041,SEER,VILLAGER,1
042,BODYGUARD,VILLAGER,1
043,VILLAGER,VILLAGER,1
044,VILLAGER,VILLAGER,1
045,VILLAGER,VILLAGER,1
046,POSSESSED,VILLAGER,0
047,VILLAGER,WEREWOLF,0
048,VILLAGER,VILLAGER,1
049,POSSESSED,VILLAGER,0
050,WEREWOLF,VILLAGER,0
051,VILLAGER,WEREWOLF,0
052,MEDIUM,VILLAGER,1
053,VILLAGER,VILLAGER,1
054,SEER,VILLAGER,1
055,BODYGUARD,VILLAGER,1
056,VILLAGER,VILLAGER,1
057,WEREWOLF,WEREWOLF,1
058,VILLAGER,VILLAGER,1
059,WEREWOLF,WEREWOLF,1
060,WEREWOLF,WEREWOLF,1
061,SEER,WEREWOLF,0
062,MEDIUM,WEREWOLF,0
063,VILLAGER,WEREWOLF,0
064,VILLAGER,VILLAGER,1
065,SEER,VILLAGER,1
066,WEREWOLF,WEREWOLF,1
067,WEREWOLF,VILLAGER,0
068,VILLAGER,VILLAGER,1
069,VILLAGER,VILLAGER,1
070,VILLAGER,WEREWOLF,0
071,WEREWOLF,VILLAGER,0
072,MEDIUM,VILLAGER,1
073,BODYGUARD,VILLAGER,1
074,WEREWOLF,WEREWOLF,1
075,VILLAGER,WEREWOLF,0
076,VILLAGER,WEREWOLF,0
077,VILLAGER,VILLAGER,1
078,MEDIUM,VILLAGER,1
079,VILLAGER,WEREWOLF,0
080,WEREWOLF,VILLAGER,0
081,WEREWOLF,WEREWOLF,1
082,VILLAGER,VILLAGER,1
083,VILLAGER,VILLAGER,1
084,VILLAGER,VILLAGER,1
085,WEREWOLF,VILLAGER,0
086,VILLAGER,VILLAGER,1
087,VILLAGER,VILLAGER,1
088,WEREWOLF,WEREWOLF,1
089,BODYGUARD,VILLAGER,1
090,VILLAGER,VILLAGER,1
091,SEER,WEREWOLF,0
092,VILLAGER,WEREWOLF,0
093,SEER,WEREWOLF,0
094,MEDIUM,WEREWOLF,0
095,SEER,WEREWOLF,0
096,MEDIUM,WEREWOLF,0
097,VILLAGER,WEREWOLF,0
098,MEDIUM,WEREWOLF,0
099,VILLAGER,WEREWOLF,0
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
49,11,10,6,18,6
29,6,6,5,11,1
VILLAGER,WEREWOLF
46,12
